STANDARD_NAME	GOBP_ALPHA_BETA_T_CELL_PROLIFERATION
SYSTEMATIC_NAME	MM8169
COLLECTION	M5:GO:BP
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_ALPHA_BETA_T_CELL_PROLIFERATION
NAMESPACE	Mouse_NCBI_Gene_ID
DESCRIPTION_BRIEF	The expansion of an alpha-beta T cell population by cell division. [GOC:ai]
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Gene Ontology
CONTRIBUTOR_ORG	Gene Ontology Consortium
EXACT_SOURCE	GO:0046633
FILTERED_BY_SIMILARITY	GO:0046640
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	regulation of alpha-beta T cell proliferation
EXTERNAL_DETAILS_URL	http://amigo.geneontology.org/amigo/term/GO:0046633
SOURCE_MEMBERS	108723,110557,110696,11847,12144,12484,12487,12501,12505,12519,12520,12772,13136,13137,14728,14963,14964,14972,14980,14985,14990,14997,15006,15007,15013,15015,15018,15024,15039,15040,15043,15944,16160,16168,16173,16183,16184,16362,16396,16452,16859,16963,17869,18106,18761,19099,19260,19264,192656,20371,20535,208154,208650,20963,21813,22164,224753,224754,224756,224761,22637,22724,230979,240095,240873,245126,320484,333715,399549,54721,56501,59009,60533,65113,65960,667803,74048,75863,83430,94176
GENE_SYMBOLS	Card11,H2-Q6,H2-M10.3,Arg2,Blm,Cd24a,Cd28,Cd3e,Cd44,Cd80,Cd81,Ccr2,Cd55,Cd55b,Lilrb4a,H2-Bl,H2-D1,H2-K1,,H2-M10.1,H2-M2,H2-M9,H2-Q1,H2-Q10,H2-Q2,H2-Q4,H2-Q7,H2-T10,H2-T22,H2-T23,H2-T3,Irgm1,Il12b,Il15,Il18,Il2,Il2ra,Irf1,Itch,Jak2,Lgals9,Xcl1,Myc,Cd244a,Prkcq,Mapk8ip1,Ptpn22,Ptprc,Ripk2,Foxp3,Slc4a2,Btla,Cblb,Syk,Tgfbr2,Tnfsf4,H2-M10.4,H2-M11,H2-M1,H2-M10.5,Zap70,Zbtb7b,Tnfrsf14,H2-M5,Tnfsf18,Tarm1,Rasal3,H2-M10.2,H2-M10.6,Tyk2,Elf4,Sh3rf1,Cd274,Ndfip1,Twsg1,H2-T-ps,Vsir,Clec4g,Il23a,Dock2
FOUNDER_NAMES	
STANDARD_NAME	GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_PROLIFERATION
SYSTEMATIC_NAME	MM7158
COLLECTION	M5:GO:BP
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_PROLIFERATION
