STANDARD_NAME	BIOCARTA_CASPASE_PATHWAY
SYSTEMATIC_NAME	MM1359
COLLECTION	M2:CP:BIOCARTA
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/BIOCARTA_CASPASE_PATHWAY
NAMESPACE	MOUSE_SEQ_ACCESSION
DESCRIPTION_BRIEF	Caspase Cascade in Apoptosis
DESCRIPTION_FULL	Apoptosis, programmed cell death, is triggered by a variety of stimuli, including cell surface receptors like FAS, mitochondrial response to stress, and cytotoxic T cells. Caspases are a class of cysteine proteases that includes several representatives involved in apoptosis. The caspases convey the apoptotic signal in a proteolytic cascade, with caspases cleaving and activating other caspases that then degrade other cellular targets that lead to cell death. The caspases at the upper end of the cascade include caspase-8 and caspase-9. Caspase-8 is the initial caspase involved in response to receptors with a death domain like FAS. The mitochondrial stress pathway begins with the release of cytochrome c from mitochondria, which then interacts with Apaf-1, causing self-cleavage and activation of caspase-9. Caspase-3, -6 and-7 are downstream caspases that are activated by the upstream proteases and act themselves to cleave cellular targets. Granzyme B and perforin proteins released by cytotoxic T cells induce apoptosis in target cells, forming transmembrane pores, and triggering apoptosis, perhaps through cleavage of caspases, although caspase-independent mechanisms of Granzyme B mediated apoptosis have been suggested.
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	BioCarta
CONTRIBUTOR_ORG	BioCarta
EXACT_SOURCE	
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/mouse/m_caspasePathway.gif
SOURCE_MEMBERS	BB097807,BF730259,CJ065827,NM_001080126,NM_007415,NM_007464,NM_007465,NM_007486,NM_007609,NM_007610,NM_007611,NM_007808,NM_007859,NM_009684,NM_009688,NM_009807,NM_009810,NM_009811,NM_010044,NM_010721,NM_010722,NM_011073,NM_013542,NM_015733,NM_019390
GENE_SYMBOLS	,,,Casp8,Parp1,Birc3,Birc2,Arhgdib,Casp4,Casp2,Casp7,Cycs,Dffb,Apaf1,Xiap,Casp1,Casp3,Casp6,Dffa,Lmnb1,Lmnb2,Prf1,Gzmb,Casp9,Lmna
FOUNDER_NAMES	
STANDARD_NAME	BIOCARTA_CHEMICAL_PATHWAY
SYSTEMATIC_NAME	MM1350
COLLECTION	M2:CP:BIOCARTA
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/BIOCARTA_CHEMICAL_PATHWAY
NAMESPACE	MOUSE_SEQ_ACCESSION
DESCRIPTION_BRIEF	Apoptotic Signaling in Response to DNA Damage
DESCRIPTION_FULL	The cellular activation of the caspase cascade resulting in cell death is triggered by chemical damage to DNA which stimulates a sequence resulting in the cleavage of Bid in a manner similar to the binding of so called death-receptors or directly initiates the permeability transition of the mitochondrial membrane. The permiability transition releases several factors including cytochrome c, AIF and other factors in to the cytoplasm. Cytochrome c, a key protein in electron transport, is released from mitochondria in response to apoptotic signals, and activates Apaf-1, a protease released from mitochondria. Activated Apaf-1 activates caspase-9 and the rest of the caspase cascade. The caspases are a class of cysteine proteases that includes several representatives involved in apoptosis. The caspases convey the apoptotic signal in a proteolytic cascade, with caspases cleaving and activating other caspases that then degrade other cellular targets that lead to cell death.
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	BioCarta
CONTRIBUTOR_ORG	BioCarta
EXACT_SOURCE	
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/mouse/m_chemicalPathway.gif
SOURCE_MEMBERS	AK136923,AK157458,NM_001165894,NM_001205313,NM_007415,NM_007522,NM_007527,NM_007544,NM_007611,NM_007808,NM_008855,NM_009684,NM_009810,NM_009811,NM_011101,NM_011602,NM_011640,NM_015733,NM_026114,NM_177410
GENE_SYMBOLS	,Stat1,Akt1,Stat1,Parp1,Bad,Bax,Bid,Casp7,Cycs,Prkcb,Apaf1,Casp3,Casp6,Prkca,Tln1,Trp53,Casp9,Eif2s1,Bcl2
FOUNDER_NAMES	
STANDARD_NAME	BIOCARTA_DNAFRAGMENT_PATHWAY
SYSTEMATIC_NAME	MM1349
COLLECTION	M2:CP:BIOCARTA
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/BIOCARTA_DNAFRAGMENT_PATHWAY
NAMESPACE	MOUSE_SEQ_ACCESSION
DESCRIPTION_BRIEF	Apoptotic DNA fragmentation and tissue homeostasis
DESCRIPTION_FULL	Apoptotic cell death can be triggered by many different cellular stimuli, resulting in activation of apoptotic signaling pathways including caspases and mitochondria. A cellular response that is characteristic of apoptosis is fragmentation of the nuclear genome to create a nucleosomal ladder. This activity is conducted by multiple nucleases activated by apoptotic signaling pathways. One nuclease involved in apoptosis is DNA fragmentation factor (DFF), a caspase-activated DNAse (CAD). DFF/CAD is activated through cleavage of its associated inhibitor ICAD by caspases proteases during apoptosis. DFF/CAD interacts with chromatin components such as topo II and histone H1 to condense chromatin structure and perhaps recruit CAD to chromatin. Another apoptosis activated protease is endonuclease G, EndoG. EndoG is encoded in the nuclear genome but is localized to mitochondria in normal cells. EndoG may play a role in the replication of the mitochondrial genome, as well as in apoptosis. Apoptotic signaling causes the release of EndoG from mitochondria. Mitochondria are involved in apoptotic signaling in other ways as well, through the release of cytochrome c induced by Bid to activate the caspase protease cascade. These pathways are independent since the EndoG pathway still occurs in cells lacking DFF.
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	BioCarta
CONTRIBUTOR_ORG	BioCarta
EXACT_SOURCE	
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/mouse/m_DNAfragmentPathway.gif
SOURCE_MEMBERS	BC064790,BI655593,DR754858,NM_007611,NM_007859,NM_007931,NM_009409,NM_009810,NM_010044,NM_010439,NM_011623,NM_013542
GENE_SYMBOLS	Hmgb1,Hmgb2,Hmgb2,Casp7,Dffb,Endog,Top2b,Casp3,Dffa,Hmgb1,Top2a,Gzmb
FOUNDER_NAMES	
STANDARD_NAME	BIOCARTA_FREE_PATHWAY
SYSTEMATIC_NAME	MM1400
COLLECTION	M2:CP:BIOCARTA
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/BIOCARTA_FREE_PATHWAY
NAMESPACE	MOUSE_SEQ_ACCESSION
DESCRIPTION_BRIEF	Free Radical Induced Apoptosis
DESCRIPTION_FULL	Oxidative stress is one factor that can trigger programmed cell death. Activated neutrophils responding to inflammatory stimulation produce reactive oxygen species like superoxide free radicals to kill invading bacteria, but these reactive oxygen species can also attack endothelial cells lining the vascular wall and trigger apoptosis. Endothelial cells also produce reactive oxygen species inside the cell that can contribute to oxidative stress and apoptosis, such as during reperfusion injury following ischemia. Superoxide dismutase (SOD) converts highly reactive and damaging superoxide free radicals to peroxides that are less reactive than superoxide but stimulate apoptosis. The glutathione (GSH) peptide reducing agent removes toxic metabolites and repairs damage created by reactive oxygen species. Glutathione peroxidase (GPx), for example, removes peroxides using glutathione as a reducing agent, and glutathione reductase (GSR) regenerates reduced glutathione. Inside the endothelial cell peroxide can be converted to hydroxyl ions in the presence of iron. Peroxides and hydroxyl radicals activate NF-kB and activate expression of inflammatory genes including adhesion molecules, TNF and IL-8. The apoptotic response of endothelial cells to oxidative stress may be involved in the development and progression of atherosclerosis.
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	BioCarta
CONTRIBUTOR_ORG	BioCarta
EXACT_SOURCE	
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/mouse/m_freePathway.gif
SOURCE_MEMBERS	AK080908,NM_008160,NM_008180,NM_008689,NM_009045,NM_010344,NM_011434,NM_011723,NM_013693
GENE_SYMBOLS	Sod1,Gpx1,Gss,Nfkb1,Rela,Gsr,Sod1,Xdh,Tnf
FOUNDER_NAMES	
STANDARD_NAME	BIOCARTA_IGF1R_PATHWAY
SYSTEMATIC_NAME	MM1438
COLLECTION	M2:CP:BIOCARTA
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/BIOCARTA_IGF1R_PATHWAY
NAMESPACE	MOUSE_SEQ_ACCESSION
DESCRIPTION_BRIEF	Multiple antiapoptotic pathways from IGF-1R signaling lead to BAD phosphorylation
DESCRIPTION_FULL	IGF-1R, the type 1 receptor for insulin-like growth factor, mediates cell survival and growth in response to its ligands IGF-1 and IGF-2. This tyrosine kinase receptor is widely expressed in many cell types and is a key mediator of growth. Overexpression or activation of IGF-1R may be involved in the proliferation of transformed cells, making inhibition of IGF-1R signaling a strategy for the development of cancer drugs. IGF-1R activates three signaling pathways that converge to phosphorylate BAD protein and block apoptosis. The first pathway activated by IGF-1R stimulates PI3-kinase and the AKT pathway to phosphorylate BAD and block apoptosis. A second pathway activated by IGF-1R involves ras mediated activation of the map kinase pathway to block apoptosis. A third pathway involves interaction of raf with mitochondria in response to IGF-1R activation. The convergence of these pathways to block apoptosis may enhance the IGF-1R response.
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	BioCarta
CONTRIBUTOR_ORG	BioCarta
EXACT_SOURCE	
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/mouse/m_igf1rPathway.gif
SOURCE_MEMBERS	AK004336,AK155158,BG694441,BU515502,NM_001024955,NM_001038663,NM_001164199,NM_001165894,NM_007522,NM_008163,NM_008284,NM_008839,NM_008923,NM_008924,NM_008927,NM_009097,NM_009231,NM_009622,NM_010513,NM_010570,NM_011158,NM_011738,NM_011952,NM_021880,NM_029780
GENE_SYMBOLS	Prkar2a,Shc1,,,Pik3r1,Mapk1,Prkacb,Akt1,Bad,Grb2,Hras,Pik3ca,Prkar1b,Prkar2a,Map2k1,Rps6ka1,Sos1,Adcy1,Igf1r,Irs1,Prkar2b,Ywhah,Mapk3,Prkar1a,Raf1
FOUNDER_NAMES	
STANDARD_NAME	BIOCARTA_MEF2D_PATHWAY
SYSTEMATIC_NAME	MM1483
COLLECTION	M2:CP:BIOCARTA
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/BIOCARTA_MEF2D_PATHWAY
NAMESPACE	MOUSE_SEQ_ACCESSION
DESCRIPTION_BRIEF	Role of MEF2D in T-cell Apoptosis
DESCRIPTION_FULL	Mef2 pathway.
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	BioCarta
CONTRIBUTOR_ORG	BioCarta
EXACT_SOURCE	
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/mouse/m_mef2dPathway.gif
SOURCE_MEMBERS	AK136923,CD742364,NM_001037178,NM_001164111,NM_007590,NM_008229,NM_008855,NM_008913,NM_008914,NM_008915,NM_009790,NM_009794,NM_009795,NM_011101,NM_133665,NM_172549,NM_177821
GENE_SYMBOLS	,Mef2d,Nfatc2,Nfatc1,Calm3,Hdac2,Prkcb,Ppp3ca,Ppp3cb,Ppp3cc,Calm1,Capn2,Capns1,Prkca,Mef2d,Cabin1,Ep300
FOUNDER_NAMES	
STANDARD_NAME	BIOCARTA_MITOCHONDRIA_PATHWAY
SYSTEMATIC_NAME	MM1484
COLLECTION	M2:CP:BIOCARTA
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/BIOCARTA_MITOCHONDRIA_PATHWAY
NAMESPACE	MOUSE_SEQ_ACCESSION
DESCRIPTION_BRIEF	Role of Mitochondria in Apoptotic Signaling
DESCRIPTION_FULL	Mitochondria participate in apoptotic signaling pathways through the release of mitochondrial proteins into the cytoplasm. Cytochrome c, a key protein in electron transport, is released from mitochondria in response to apoptotic signals, and activates Apaf-1, a protease released from mitochondria. Activated Apaf-1 activates caspase-9 and the rest of the caspase pathway. Smac/DIABLO is released from mitochondria and inhibits IAP proteins that normally interact with caspase-9 to inhibit apoptosis. Apoptosis regulation by Bcl-2 family proteins occurs as family members form complexes that enter the mitochondrial membrane, regulating the release of cytochrome c and other proteins. TNF family receptor that cause apoptosis directly activate the caspase cascade, but can also activate Bid, a Bcl-2 family member, which activates mitochondria-mediated apoptosis. Bax, another Bcl-2 family member, is activated by this pathway to localize to the mitochondrial membrane and increase its permeability, releasing cytochre c and other mitochondrial proteins. Bcl-2 and Bcl-xL prevent pore formation, blocking apoptosis. AIF (Apoptosis inducing factor) is another mitochondrial factor that is released into the cytoplasm to induce apoptosis. AIF-induced apoptosis is important during development but is not caspase dependent.
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	BioCarta
CONTRIBUTOR_ORG	BioCarta
EXACT_SOURCE	
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/mouse/m_mitochondriaPathway.gif
SOURCE_MEMBERS	NM_001080126,NM_007464,NM_007465,NM_007523,NM_007527,NM_007544,NM_007611,NM_007808,NM_007859,NM_007931,NM_009684,NM_009688,NM_009810,NM_009811,NM_010044,NM_012019,NM_015733,NM_023232,NM_177410
GENE_SYMBOLS	Casp8,Birc3,Birc2,Bak1,Bax,Bid,Casp7,Cycs,Dffb,Endog,Apaf1,Xiap,Casp3,Casp6,Dffa,Aifm1,Casp9,Diablo,Bcl2
FOUNDER_NAMES	
STANDARD_NAME	BIOCARTA_PTEN_PATHWAY
SYSTEMATIC_NAME	MM1461
COLLECTION	M2:CP:BIOCARTA
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/BIOCARTA_PTEN_PATHWAY
NAMESPACE	MOUSE_SEQ_ACCESSION
DESCRIPTION_BRIEF	PTEN dependent cell cycle arrest and apoptosis
DESCRIPTION_FULL	PTEN is a tumor suppressor gene. Recombinant PTEN is capable of dephosphorylating phosphatidylinositol 3,4,5-triphosphate, the product of phosphatidylinositol 3 -kinase. Many of the cancer-related mutations have been mapped to the phosphatase catalytic domain, it has been suggested that the phosphatase activity of PTEN is required for its tumor suppressor function. The activation of PKB/AKT is regulated in a complex manner via phosphorylation of AKT on Thr308 and Ser473 by PDK1 and ILK(integrin-linked kinase) respectively. Inactivation of PTEN will constitutively activate PKB/AKT pathway. In addition to its role in regulating the PI 3-K/AKT cell survival pathway, PTEN also inhibits growth factor-induced Shc phosphorylation and suppresses the mitogen-activated protein (MAP) kinase signaling pathway. PTEN also interact with FAK, a key molecule implicated in integrin signaling pathways, and it directly dephosphorylates tyrosine-phosphorylated FAK. PTEN down-regulation of p130CAS through FAK results in inhibition of cell migration and spreading.
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	BioCarta
CONTRIBUTOR_ORG	BioCarta
EXACT_SOURCE	
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/mouse/m_ptenpathway.gif
SOURCE_MEMBERS	AK004198,AK155158,AK159465,BG694441,BU515502,CX225056,NM_001024955,NM_001038663,NM_001080773,NM_001165894,NM_001198839,NM_001205243,NM_008163,NM_008839,NM_008960,NM_009231,NM_009875,NM_010562,NM_010578,NM_011952,NM_019740,NM_133667
GENE_SYMBOLS	Foxo3,Shc1,Foxo3,,,,Pik3r1,Mapk1,Pdpk1,Akt1,Bcar1,Fasl,Grb2,Pik3ca,Pten,Sos1,Cdkn1b,Ilk,Itgb1,Mapk3,Foxo3,Pdk2
FOUNDER_NAMES	
STANDARD_NAME	BIOCARTA_TCAPOPTOSIS_PATHWAY
SYSTEMATIC_NAME	MM1405
