STANDARD_NAME	GOBP_DNA_INTEGRITY_CHECKPOINT_SIGNALING
SYSTEMATIC_NAME	MM6415
COLLECTION	M5:GO:BP
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_DNA_INTEGRITY_CHECKPOINT_SIGNALING
NAMESPACE	Mouse_NCBI_Gene_ID
DESCRIPTION_BRIEF	A signaling process that controls cell cycle progression in response to changes in DNA structure by monitoring the integrity of the DNA. The DNA integrity checkpoint begins with detection of DNA damage, defects in DNA structure or DNA replication, and progresses through signal transduction and ends with cell cycle effector processes. [GOC:mtg_cell_cycle]
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Gene Ontology
CONTRIBUTOR_ORG	Gene Ontology Consortium
EXACT_SOURCE	GO:0031570
FILTERED_BY_SIMILARITY	GO:0000077
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	DNA damage checkpoint signaling
EXTERNAL_DETAILS_URL	http://amigo.geneontology.org/amigo/term/GO:0031570
SOURCE_MEMBERS	102423,102635357,102635473,104418,106052,107829,107976,117229,11909,11920,12021,12144,12189,12190,12366,12443,12450,12534,12575,12649,12753,12905,12952,13555,13924,14155,15270,15574,15937,17193,17246,17535,17685,17829,18004,18392,18817,18854,19090,19247,19355,19356,19361,19367,193838,19891,19941,20184,208266,208583,208768,209200,210554,210766,211651,216965,21853,219158,22040,22059,22264,225131,225160,22591,226591,227331,231724,234664,234736,235323,235559,235610,23834,241627,245000,26416,26427,268465,26931,269582,270669,27103,27223,27354,28000,319955,327762,330177,368203,381921,381979,50883,52040,53817,54601,56190,56371,56453,57261,57913,60364,65964,66131,668198,668203,668205,668209,668213,668216,66983,67153,67177,67490,67941,68067,68077,68145,68251,68592,70681,71007,71375,71702,71711,72440,72772,74729,76454,76843,77011,77065,79263,80280,80285,99375
GENE_SYMBOLS	Hinfp,Gm32717,Gm32802,Dgkz,Fbxo4,Thoc5,Babam2,Stk33,Atf2,Atm,Bard1,Blm,Brca1,Brca2,Casp2,Ccnd1,Ccng1,Cdk1,Cdkn1a,Chek1,Clock,Cradd,Cry1,E2f1,Ptprv,Fem1b,H2ax,Hus1,Ier3,Mbd4,Mdm2,Mre11a,Msh2,Muc1,Nek1,Orc1,Plk1,Pml,Prkdc,Ptpn11,Rad1,Rad17,Rad51,Rad9a,Eme2,Rpa2,Rpl26,Uimc1,Dot1l,Nek11,Sde2,Dtx3l,Hus1b,Brcc3,Fancd2,Taok1,Timeless,Ccar2,Trex1,Trp53,Prap1,Wac,Thoc1,Xpc,Tiprl,Gigyf2,Rad9b,Nae1,Rfwd3,Usp28,Topbp1,Atrip,Cdc6,Wdr76,Atr,Mapk14,Creb3l1,Eme1,Ppp2r5c,Clspn,Mbtps2,Eif2ak4,Trp53bp1,Nbn,Prpf19,Ercc6,Dna2,Taok3,Brcc3dc,Taok2,Brsk1,Chek2,Ppp1r10,Ddx39b,Foxo4,Rbm38,Fzr1,Mbtps1,Brd4,Pidd1,Donson,Map3k20,Tipin,Gm9040,Gm9044,Gm9045,Gm9046,Gm9048,Gm9049,Zfp830,Rnaseh2b,Cdt1,Ufl1,Rps27l,Mrnip,Nop53,Etaa1,Babam1,Syf2,Abraxas1,D7Ertd443e,Foxn3,Cdc5l,Mus81,Rhno1,Rint1,Setmar,Fbxo31,Dtl,Ticrr,Ints7,Trim39,Cdk5rap3,Parp9,Cul4a
FOUNDER_NAMES	
STANDARD_NAME	GOBP_DNA_LIGATION_INVOLVED_IN_DNA_REPAIR
SYSTEMATIC_NAME	MM8654
COLLECTION	M5:GO:BP
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_DNA_LIGATION_INVOLVED_IN_DNA_REPAIR
NAMESPACE	Mouse_NCBI_Gene_ID
DESCRIPTION_BRIEF	The re-formation of a broken phosphodiester bond in the DNA backbone, carried out by DNA ligase, that contributes to DNA repair. [GOC:ai]
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Gene Ontology
CONTRIBUTOR_ORG	Gene Ontology Consortium
EXACT_SOURCE	GO:0051103
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	http://amigo.geneontology.org/amigo/term/GO:0051103
SOURCE_MEMBERS	108138,16882,319583,59047,75570
GENE_SYMBOLS	Xrcc4,Lig3,Lig4,Pnkp,Nhej1
FOUNDER_NAMES	
STANDARD_NAME	GOBP_DNA_REPAIR
SYSTEMATIC_NAME	MM4647
COLLECTION	M5:GO:BP
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_DNA_REPAIR
NAMESPACE	Mouse_NCBI_Gene_ID
DESCRIPTION_BRIEF	The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway. [PMID:11563486]
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Gene Ontology
CONTRIBUTOR_ORG	Gene Ontology Consortium
EXACT_SOURCE	GO:0006281
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	http://amigo.geneontology.org/amigo/term/GO:0006281
SOURCE_MEMBERS	100040608,100206,100683,100710,101185,101206,101831,101943,102162,102423,102871,103537,103554,104271,104479,104570,104721,104806,104884,105377,106344,107260,107373,107823,107932,107951,107976,107986,108138,108143,108937,109019,109115,109145,109275,110033,110052,110749,111241,113002583,11350,11438,11461,114714,114741,11545,11546,116870,117599,11785,11792,11920,12006,12013,12021,12054,12055,12144,12189,12190,12544,12545,12566,12572,12581,12611,12649,13006,13194,13211,13404,13549,13649,13831,13870,13871,13872,13990,14048,14049,14050,14051,14087,14088,140917,14156,14165,14194,14211,14235,14265,14375,14534,14884,14885,14897,15193,15204,15270,15289,15312,15361,15364,15499,15574,15937,16588,16881,16882,16969,170472,170787,17193,17199,17215,17216,17217,17218,17219,17220,17314,17350,17420,17535,17685,17686,17687,17688,17846,18140,18143,18148,18207,18294,18519,18538,18752,18854,18861,18950,18968,18970,18971,18972,18973,18974,19090,191578,19355,19356,19357,19358,19359,19360,19361,19362,19363,19364,19365,19366,19367,193740,193838,19687,19691,19704,19708,19714,19718,19891,20133,20174,20184,20422,20585,20586,20587,20588,207175,208084,208266,20833,208836,20892,209011,209200,209334,209357,20937,20957,20962,210554,210766,211064,211651,211978,212377,213389,21343,21427,214552,214763,216049,21665,21673,216825,216853,216965,217127,217216,217218,21761,21767,217716,218294,21849,21853,218973,219022,21958,21975,22036,22040,22059,22064,22160,22209,22210,22224,22256,223527,22376,223970,223989,224008,22427,225182,225280,225876,225888,22589,225895,22590,22591,22592,22594,22596,226026,226151,226182,22632,226409,227099,227195,227525,227622,227656,227867,228140,228880,228980,229543,229584,230484,230709,231151,231642,231724,231855,232210,232314,232811,233545,233789,233826,233875,233908,234258,234371,234396,234736,234857,235134,235323,235441,235559,235587,235610,235626,236904,237211,237911,23894,239985,240069,240087,24061,240697,24074,24075,24102,24128,243897,244219,244666,244694,245000,246103,252870,26369,26370,26383,26430,26447,268281,268395,268465,268491,268564,26909,26914,269254,269400,269523,269582,26972,26992,27015,27050,272158,27221,27223,272551,27354,27878,28000,29861,30939,30951,319162,319583,319604,319801,319944,319955,320022,320209,320678,327762,330177,330554,338371,368203,380709,381306,381678,382913,382985,384619,408022,50505,50721,50754,50755,50762,50776,50883,51812,51869,52864,53610,54125,54380,54418,545124,55947,55982,55993,56045,56196,56207,56210,56249,56371,56397,56420,56424,56438,56456,56505,56515,56626,56739,56790,57320,57321,57376,57434,57748,58186,58230,59004,59026,59029,59047,60530,60534,622554,623474,635253,64050,66105,66125,66165,66209,66233,66341,66403,66408,66464,66467,665775,66589,66634,66647,66654,66713,66799,668929,66911,66923,66962,66991,66993,67030,67153,671535,67155,67196,67236,67241,67439,67484,67490,67513,67561,67711,67788,67811,67849,67872,67956,67967,67968,68026,68047,68058,68067,68077,68094,68114,68142,68145,68149,68166,68209,68240,68251,68275,68501,69090,69113,69263,69596,69714,69716,69723,69724,69745,69747,69885,69917,69920,69928,70020,70088,70099,70127,70238,70603,70620,70675,70681,70790,71101,71175,71514,71521,71567,71702,71711,71726,71777,71885,71890,71988,71991,72057,72103,72151,72170,72195,72199,72440,72584,72612,72749,72774,72836,72931,73172,73247,73747,74044,74264,74335,74355,74377,74386,74401,74528,74666,74729,74996,75178,75317,75452,75555,75560,75565,75570,75698,75764,75801,76251,76843,77011,77044,77045,77593,77622,77782,77987,78412,78610,78656,78903,79221,79456,80285,80886,80905,81601,83766,83796,83797,93759,93760,93762,93765,93836,94232,97827,98415,99375,99890,99982
