STANDARD_NAME	BIOCARTA_41BB_PATHWAY
SYSTEMATIC_NAME	MM1511
COLLECTION	M2:CP:BIOCARTA
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/BIOCARTA_41BB_PATHWAY
NAMESPACE	MOUSE_SEQ_ACCESSION
DESCRIPTION_BRIEF	The 4-1BB-dependent immune response
DESCRIPTION_FULL	The activation of T cells requires a co-stimulatory signal with T cell receptor activation, provided in many cases by activation of CD28 in resting T cells. 4-1BB (CD137) is a member of the TNF receptor gene family that provides another T cell co-stimulatory signal. 4-1BB is expressed by activated cytotoxic and helper T cells and its expression is induced by a variety of T cell stimuli, including activation of the T cell receptor or stimulation with mitogens. The ligand for 4-1BB (4-1BBL) is induced on activated antigen-presenting cells including macrophages, activating T cells expressing 4-1BB. Mice lacking 4-1BB survive and have an altered though functional immune response. T cells of mice lacking 4-1BB proliferate more rapidly than normal T cells, but have reduced cytokine secretion. The costimulatory signal provided by 4-1BB may act in combination with CD28 activation to prolong the T cell response, and may also act independently of CD28. Stimulation of T cells with the 4-1BB ligand may provide a therapeutic immune response in the treatment of cancer or viral infection. 4-1BB in T cells activates several signaling pathways. Like other members of the TNF receptor family, the 4-1BB receptor does not have an intrinsic kinase activity. TRAF2 is a signaling adapter that mediates signaling by other members of the TNF receptor family and that also binds to the cytoplasmic domain of ligand activated 4-1BB to activate intracellular kinase cascades. TRAF1 also binds to the cytoplasmic domain of 4-1BB although with lower affinity than TRAF2. One downstream effector activated by 4-1BB through TRAF2 is the transcription factor NF-kB. 4-1BB also activates map kinase pathways, including p38 and JNK activation. ASK1 dependent pathways can activate both p38 and JNK, and dominant negative ASK1 blocks their activation. Other kinase pathways may also be involved in 4-1BB activation of p38 and JNK, such as activation of germinal center kinase (GCK) or related kinases involved in activation of JNK and p38 by TNF. Map kinase activation along with NF-kB activation results in transcriptional activation of cytokine genes involved in T cell activation and signaling. The co-stimulatory signaling provided by 4-1BB shares some features with CD28 signaling, providing an explanation for the ability of 4-1BB to replace the CD28 costimulatory signal in some settings.
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	BioCarta
CONTRIBUTOR_ORG	BioCarta
EXACT_SOURCE	
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/mouse/m_41BBPathway.gif
SOURCE_MEMBERS	NM_001077508,NM_001159774,NM_001162410,NM_001168513,NM_008337,NM_008366,NM_008580,NM_008689,NM_009045,NM_009404,NM_009422,NM_009715,NM_010591,NM_010907,NM_011945,NM_016700,NM_021283,NM_201519
GENE_SYMBOLS	Tnfrsf9,Ikbkb,Chuk,Mapk14,Ifng,Il2,Map3k5,Nfkb1,Rela,Tnfsf9,Traf2,Atf2,Jun,Nfkbia,Map3k1,Mapk8,Il4,Map4k5
FOUNDER_NAMES	
STANDARD_NAME	BIOCARTA_CTL_PATHWAY
SYSTEMATIC_NAME	MM1374
COLLECTION	M2:CP:BIOCARTA
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/BIOCARTA_CTL_PATHWAY
NAMESPACE	MOUSE_SEQ_ACCESSION
DESCRIPTION_BRIEF	CTL mediated immune response against target cells
DESCRIPTION_FULL	Cytotoxic T lymphocytes (CTLs), also known as killer T cells, provide a cell-mediated response to specific foreign antigens associated with cells. CTLs only respond to foreign antigen when it is presented bound to the MHC-1 expressed on the surface of all cells. CTLs do not respond to soluble antigen, but induce apoptosis in viral-infected cells and in cancer cells. When the complex of antigen bound to MHC-1 is bound to antigen-specific T cell receptor, the cytotoxic T cell induces apoptosis in the target cell primarily by two pathways, one involving perforin-mediated apoptosis and the other involving Fas/Fas-ligand interaction. When CTLs are activated by recognition of specific antigen on a cell, they release perforin proteins that integrate into the membrane of the target cell and organize to form a membrane pore. This allows the protease granzyme to enter the cell and activate the apoptotic caspase proteolytic cascade , and also allows other molecules to cross the cell membrane and trigger osmotic lysis of the membrane. The interaction of T-cell Fas ligand with the Fas receptor in the target cell can also activate the caspase cascade and other pathways involved in apoptosis. The interaction of a CTL with antigen-MHC I complex activates the CTL to proliferate and amplify the clone of T cells that respond to that antigen, amplifying the immune response against that specific antigen.
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	BioCarta
CONTRIBUTOR_ORG	BioCarta
EXACT_SOURCE	
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/mouse/m_ctlPathway.gif
SOURCE_MEMBERS	AK080019,BC018402,NM_001001892,NM_001146708,NM_001205243,NM_007648,NM_008400,NM_008404,NM_009735,NM_009850,NM_010493,NM_011073,NM_013487,NM_013542,NM_031162,NR_004446
GENE_SYMBOLS	Cd247,,H2-K1,Fas,Fasl,Cd3e,Itgal,Itgb2,B2m,Cd3g,Icam1,Prf1,Cd3d,Gzmb,Cd247,H2-K2
FOUNDER_NAMES	
STANDARD_NAME	BIOCARTA_CYTOKINE_PATHWAY
SYSTEMATIC_NAME	MM1378
COLLECTION	M2:CP:BIOCARTA
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/BIOCARTA_CYTOKINE_PATHWAY
NAMESPACE	MOUSE_SEQ_ACCESSION
DESCRIPTION_BRIEF	Cytokine Network
DESCRIPTION_FULL	Several different cell types coordinate their efforts as part of the immune system, including B cells, T cells, macrophages, neutrophils, basophils and eosinophils. Each of these cell types has a distinct role in the immune system, and communicates with other immune cells using secreted factors called cytokines, including interleukins, TNF, and the interferons. Macrophages phagocytose foreign bodies and are antigen-presenting cells, using cytokines to stimulate specific antigen dependent responses by B and T cells and non-specific responses by other cell types. T cells secrete a variety of factors to coordinate and stimulate immune responses to specific antigen, such as the role of helper T cells in B cell activation in response to antigen. The proliferation and activation of eosinophils, neutrophils and basophils respond to cytokines as well. Cytokine communication is often local, within a tissue or between cells in close proximity. Each of the cytokines is secreted by one set of cells and provokes a response in another target set of cells, often including the cell that secretes the cytokine. Some cytokines, like IL-1, interferons and TNF, stimulate a broad inflammatory response in response to infection or injury. Other cytokines have more specific functions such the following examples. IL-2 stimulates the proliferation and activation of B and T cells. IL-4 plays a role in the differentiation of Th2 cells, in allergic responses, and in the switching of antibody types. IL-5 stimulates the production and maturation of eosinophils during inflammation. IL-8 is a chemokine, a chemotactic factor that attracts neutrophils, basophils and T cells to sites of inflammation. IL-12 and IL-18 are involved in helper T cell differentiation. IL-10 apparently acts to repress secretion of proinflammatory cytokines. The complex interplay of these different cytokine functions with immune cells is essential for correct immune function.
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	BioCarta
CONTRIBUTOR_ORG	BioCarta
EXACT_SOURCE	
FILTERED_BY_SIMILARITY	
